Final_Approximation,H_L1,H_L2,H_L3
6.435624999999999929e+00,-2.109999999999994102e-01,2.500000000000000000e-01,6.047500000000010090e-01
7.392125000000000057e+00,-8.100000000000040501e-02,1.130000000000004334e-01,1.032500000000000639e-01
7.954625000000000057e+00,-1.730000000000000426e-01,1.334999999999997300e-01,3.822499999999999787e-01
8.653999999999999915e+00,-1.490000000000000213e-01,-4.349999999999987210e-02,4.795000000000015916e-01
8.761500000000001620e+00,7.199999999999917577e-02,4.560000000000004050e-01,-3.910000000000000142e-01
8.629999999999999005e+00,1.390000000000002345e-01,5.024999999999995026e-01,-7.249999999999978684e-02
8.619749999999999801e+00,1.209999999999995524e-01,8.300000000000000711e-01,-7.699999999999818101e-02
7.509624999999999773e+00,5.900000000000016342e-02,9.344999999999998863e-01,-6.632500000000005613e-01
7.145624999999999893e+00,-6.400000000000005684e-02,1.073499999999999233e+00,9.024999999999927525e-02
6.520374999999999588e+00,-8.099999999999951683e-02,-7.445000000000003837e-01,-7.677500000000003766e-01
6.247999999999999332e+00,-1.209999999999995524e-01,-7.300000000000004263e-01,1.909999999999998366e-01
6.343374999999999986e+00,7.599999999999962341e-02,-5.660000000000007248e-01,-1.832500000000010232e-01
5.963250000000000384e+00,8.499999999999996447e-02,-7.479999999999975557e-01,1.118500000000000050e+00
7.640874999999999417e+00,1.580000000000003624e-01,-4.939999999999997726e-01,6.962500000000000355e-01
8.125375000000000014e+00,2.039999999999997371e-01,1.715000000000001634e+00,-4.374999999999928946e-02
8.353874999999998607e+00,2.919999999999998153e-01,3.680000000000021032e-01,1.857500000000005258e-01
9.200000000000001066e+00,1.120000000000000995e-01,-2.289999999999992042e-01,2.164999999999999147e-01
1.019725000000000037e+01,8.399999999999963052e-02,2.609999999999992326e-01,-6.000000000000227374e-03
1.014387500000000131e+01,1.280000000000001137e-01,-4.535000000000000142e-01,6.317499999999984794e-01
1.024549999999999983e+01,2.469999999999989981e-01,3.920000000000012363e-01,-4.749999999999943157e-02
9.422000000000000597e+00,1.670000000000015916e-01,6.720000000000005969e-01,4.744999999999990337e-01
1.250349999999999895e+01,1.560000000000005826e-01,1.709999999999993747e-01,1.633499999999999730e+00
1.391049999999999898e+01,1.150000000000002132e-01,1.335499999999999687e+00,1.615000000000001990e-01
1.445637500000000131e+01,1.200000000000045475e-02,1.015500000000002956e+00,6.317500000000020322e-01
1.561712499999999970e+01,-4.299999999999926104e-02,5.499999999999971578e-01,2.432499999999997442e-01
1.382850000000000001e+01,-1.379999999999999005e-01,-1.033499999999996533e+00,-1.434999999999998721e+00
1.155074999999999896e+01,-7.699999999999995737e-02,-3.197500000000001563e+00,-6.241499999999998494e+00
1.334149999999999991e+01,-5.700000000000038369e-02,-1.158500000000000085e+00,4.132999999999999119e+00
1.573037500000000044e+01,-2.299999999999968736e-02,-1.293499999999999872e+00,-1.137499999999995737e-01
1.638962499999999878e+01,-1.669999999999998153e-01,3.710000000000004405e-01,5.722500000000039222e-01
1.798799999999999955e+01,-3.000000000000113687e-02,-4.849999999999994316e-01,-1.000000000000156319e-02
1.717750000000000199e+01,5.599999999999916156e-02,1.680999999999999162e+00,-2.104999999999996874e-01
1.813300000000000267e+01,9.999999999994457767e-04,1.469999999999984652e-01,1.283000000000001251e+00
2.051812500000000128e+01,4.700000000000059686e-02,-3.524999999999991473e-01,6.522500000000022169e-01
1.812637499999999946e+01,8.000000000000007105e-03,-1.004500000000000171e+00,-2.425249999999998352e+00
1.327162500000000023e+01,-9.300000000000085976e-02,-9.899999999999984368e-01,-4.062750000000001194e+00
8.617124999999999702e+00,-2.719999999999993534e-01,-3.609999999999997655e-01,4.107500000000001705e-01
1.523174999999999990e+01,-1.289999999999995595e-01,9.754999999999984794e-01,1.172000000000000597e+00
2.137199999999999989e+01,1.110000000000006537e-01,6.635000000000008669e-01,1.669000000000000483e+00
1.861662499999999909e+01,5.600000000000004974e-02,8.384999999999998010e-01,-2.416250000000001563e+00
1.507712499999999878e+01,8.900000000000041211e-02,-4.300000000000281375e-02,-2.073750000000002203e+00
1.335099999999999909e+01,-1.250000000000000000e-01,-2.610000000000010090e-01,-5.119999999999986784e-01
1.453899999999999970e+01,-1.320000000000005613e-01,-9.049999999999869260e-02,1.373999999999998778e+00
1.244900000000000162e+01,-7.200000000000006395e-02,6.749999999999900524e-02,-1.656000000000000583e+00
1.187637499999999946e+01,-2.450000000000001066e-01,1.640000000000014779e-01,-9.572500000000001563e-01
8.502750000000000696e+00,-2.099999999999990763e-02,-4.799999999999986500e-01,1.384000000000000341e+00
1.173300000000000054e+01,-7.800000000000029132e-02,-6.554999999999999716e-01,7.424999999999997158e-01
1.117024999999999935e+01,2.000000000000001776e-01,-3.820000000000014495e-01,3.725000000000004974e-01
1.161025000000000063e+01,7.699999999999995737e-02,-2.080000000000001847e-01,-6.600000000000001421e-01
1.093887499999999946e+01,1.700000000000034817e-02,-3.315000000000001279e-01,3.575000000000017053e-02
1.185050000000000026e+01,2.800000000000046896e-02,9.939999999999997726e-01,1.270000000000006679e-01
1.178224999999999945e+01,-9.299999999999997158e-02,-8.895000000000017337e-01,-3.084999999999986642e-01
