Year,Yield,District_Belagavi,District_ChickkaManglur,District_Dakshinakannada,District_Davanagere,District_Hassan,District_Kodagu,District_Mysuru,District_Shivamogga,District_Udupi,District_Uttarkannada,Tmax_cA_1,Tmax_cA_2,Tmax_cA_3,Tmax_cA_4,Tmax_cA_5,Tmax_cD_1,Tmax_cD_2,Tmax_cD_3,Tmax_cD_4,Tmax_cD_5,Tmin_cA_1,Tmin_cA_2,Tmin_cA_3,Tmin_cA_4,Tmin_cA_5,Tmin_cD_1,Tmin_cD_2,Tmin_cD_3,Tmin_cD_4,Tmin_cD_5,Rain_cA_1,Rain_cA_2,Rain_cA_3,Rain_cA_4,Rain_cA_5,Rain_cD_1,Rain_cD_2,Rain_cD_3,Rain_cD_4,Rain_cD_5,RHI_cA_1,RHI_cA_2,RHI_cA_3,RHI_cA_4,RHI_cA_5,RHI_cD_1,RHI_cD_2,RHI_cD_3,RHI_cD_4,RHI_cD_5,RHII_cA_1,RHII_cA_2,RHII_cA_3,RHII_cA_4,RHII_cA_5,RHII_cD_1,RHII_cD_2,RHII_cD_3,RHII_cD_4,RHII_cD_5
2012.0,3055.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.06611612150000001,-0.296306431,-0.0526222325,-0.5361496445,-0.2548944535,-0.9430359850000001,0.046485934000000007,-0.018469763,-0.16694295700000006,0.509788907,0.1476692585,0.1732257545,0.17867877799999998,-0.031273772,-0.025798496,-0.641227745,-0.07906255300000001,-0.11628797599999999,0.002348977999999998,0.051596992,0.6467207340000001,0.412375773,0.0832023415,0.8745617674999999,0.149359562,1.945971904,-0.568731486,-0.12914588700000001,-0.406123871,-0.298719124,1.171097299,0.7266260565,1.4833506975000001,1.2952260405,0.193685544,0.000300398000000035,-0.7294817889999999,0.126743241,-0.30204640299999985,-0.387371088,1.3919677400000001,1.358496786,1.6452083494999998,1.3275866965,0.4785583105,0.253601682,-0.11391676400000006,0.05554767100000002,-0.5803410010000001,-0.957116621
2013.0,3539.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.19073606199999998,-0.19508236099999998,-0.2511032915,-0.10371500700000003,-0.012373517,0.12149431200000002,-0.02035298599999999,0.156260281,0.468135156,0.024747034,-0.0722221425,-0.026407192,-0.1753530005,-0.24700147949999998,0.0413232545,-0.025660271,0.052510878000000004,-0.125033083,0.347889937,-0.082646509,-0.0003545874999999754,-0.1423487325,-0.3142547565,-0.16839005550000002,0.3146226485,-0.45563650499999997,-0.256357279,-0.385803057,0.229785755,-0.629245297,1.2015639930000002,1.2858826485,0.3428698805,1.2507531,0.5019786495,0.06123378600000007,0.05110418700000019,0.10434516299999996,0.22201105200000004,-1.003957299,1.3978537505,1.528424256,1.2414023539999999,1.679023517,0.506892641,-0.0668023929999999,-0.16806441000000016,0.11834533199999986,0.13825667399999997,-1.013785282
2014.0,3513.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.227229678,-0.161059345,0.0386665465,0.047879415499999994,0.189727263,0.19448154400000003,0.11501481200000001,0.021184755000000003,0.464935787,-0.379454526,-0.12019260949999999,-0.092951508,0.002756027000000001,-0.13887607999999999,0.130818922,0.07028066300000001,0.09636868800000001,0.05635536,-0.040189775999999997,-0.261637844,0.662846305,-0.229795289,-0.48946527250000005,-0.530496735,0.2262641665,-0.9526430879999999,-0.483427392,0.09769524499999999,-0.451642148,-0.452528333,-0.526716873,-0.2793828655,0.0095110975,-0.037384361000000005,0.0727862875,0.10552576999999996,0.254788275,0.062336665,0.165860958,-0.145572575,-1.3908163194999998,-0.5428731615,-0.688802224,-0.4092999595,-0.1164626355,0.3545669630000001,0.485893987,-0.405493492,-0.091657449,0.232925271
2015.0,2921.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.297016671,-0.261921281,0.271570446,-0.02591819,-0.012373517,-0.820939226,0.384543294,-0.370545686,0.087549414,0.024747034,-0.138141395,-0.093140908,-0.261674668,0.05443144800000001,0.1979406725,-0.157498776,0.00751666799999999,0.226812418,0.34642528,-0.395881345,0.7911472955000001,-0.44669577949999995,-0.598876441,-0.2002830545,-0.087081191,1.754503737,-0.36936988499999995,0.38175153799999995,0.7814520930000001,0.174162382,-0.21534883400000002,-0.3471544445,-0.05367406050000001,-0.053701045,-0.0602028955,0.140870286,0.479700805,0.416511787,0.13322759,0.120405791,-0.5981910735,-0.34672654,0.22060724450000002,-0.0352057865,-0.2905163815,0.239857435,0.364270812,0.365610123,-0.255463143,0.581032763
2017.0,2745.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0376413055,-0.1442289035,-0.175718014,-0.306758405,-0.3357347655,0.140325655,0.081353929,0.449953876,-0.5507280680000001,0.671469531,0.3454270155,0.218219965,0.15846478400000003,0.2916377705,0.0636971715,-0.24571223100000003,0.18787231,0.19294326200000003,0.04384155099999998,-0.127394343,0.2591591704999999,0.142863617,-0.176609427,0.506433973,0.2589895305,-1.2651958030000001,-0.566419434,-0.350580086,0.66448328,-0.517979061,-0.12109624949999998,-0.2560633005,0.400142176,-0.046142126000000006,0.20577547,0.634819067,-0.17167068699999996,0.24291702400000004,0.46619900999999997,-0.41155094,-0.83336079,-1.9810122915,-0.6956333895,-0.308483957,0.280217995,0.7465065200000001,-0.968548849,0.048286397000000036,1.9968587759999998,-0.56043599
2018.0,2669.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.08044287649999998,-0.5832689115,-0.10360253450000001,-0.062617033,-0.2751045315,-0.284981829,0.145778623,0.379800275,-0.139042378,0.550209063,-0.004290741000000001,-0.1594958235,-0.176446139,0.05432683000000002,0.0860710885,0.014261598,0.140226499,-0.302048972,0.43254897400000003,-0.172142177,-0.3044338955,0.3273126965,-0.468099362,-0.06359303999999999,0.028275716,0.13791436899999998,0.00792565700000003,-0.35992453399999996,0.985717154,-0.056551432,0.0625310975,0.36612383449999997,0.0037314175000000005,-0.39543023,-0.0481129695,0.438177861,0.013864998999999989,-0.381713589,0.40332996600000004,0.096225939,-0.20336123299999997,0.5339792889999999,-0.42365262049999997,-1.0817828255,-0.3431372815,0.7755001020000001,-0.615205092,-1.003503093,1.000602271,0.686274563
2019.0,2893.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.15861175249999995,-0.8194986455,-0.4356427275,0.12527631150000001,-0.012373517,-0.6901038549999999,0.27921504099999994,-0.141357071,0.16014725700000002,0.024747034,-0.08614662849999999,-0.137377518,0.002756027000000001,-0.16025007549999998,-0.048172413,-0.437272981,0.09598988799999998,0.05635536,-0.169270699,0.096344826,-0.08161070799999998,1.0464311725,0.8130707575,-0.5735111865,-0.279342703,0.5038092860000001,-0.340899599,0.837820429,-0.20526096499999996,0.558685406,0.33882455499999997,0.1530804905,0.379968024,0.19343337100000002,0.1453258415,-0.0900357,-0.02923751899999999,0.58700507,-0.12172987800000001,-0.290651683,0.6219983874999999,0.6046474344999999,0.8448468065,0.622481744,-0.197417866,0.15960598299999995,-0.07986621299999996,0.09893170500000004,-0.48104353,0.394835732
2021.0,2715.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.445963571,0.4478543225,0.1988010065,0.06502907400000002,0.028046639,-0.06485106399999996,0.592302731,-0.373161525,0.8056233180000001,-0.056093278,0.3674000995,0.30688258599999996,0.22402588900000003,0.206037168,0.0636971715,-0.201766063,0.09977788999999998,0.061821052000000015,-0.38635844399999997,-0.127394343,-0.7560265534999999,-0.68397791,-0.46545052100000006,-0.4234728135,-0.383245733,0.07211937899999998,-0.214549098,-0.10950511000000002,-0.6588664909999999,0.766491466,0.39366460449999996,0.557429781,0.415593883,0.721507348,0.1030111015,0.01964439899999998,-0.279377522,0.00952044799999996,-0.15536563399999992,-0.206022203,0.0317332035,0.24309132700000002,0.42613546599999996,0.6023711115000001,-0.0921760665,-0.23933357100000002,-0.28906201,0.293105648,-0.8514695330000001,0.184352133
1998.0,2039.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.4216366115,0.02371337500000001,-0.8463379955,-0.820589148,-0.032583595,0.243591071,-0.457944458,-1.320055207,-0.12304553600000001,0.06516719,-0.11214401199999999,-0.092951508,-0.1545924375,-0.3540806955,-0.048172413,-0.297385878,0.09636868800000001,-0.345756375,-0.125267287,0.096344826,1.6049587019999998,-0.13405379350000002,2.7772576095,0.9641683735,-0.2850696415,-2.372666262,0.868993823,3.8842612589999996,-0.407926051,0.570139283,0.23830971950000002,0.3262336495,0.48928116499999996,0.6072770249999999,0.320629764,0.03787390500000001,0.31706879899999996,-0.01129589000000003,0.138361748,-0.641259528,0.506490945,0.863847595,1.0096738345,1.190684772,0.680946387,0.299846734,0.19870644599999998,0.07397442099999996,0.3094337519999999,-1.361892774
2000.0,2356.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.07620885,-0.7703351460000001,-0.394680291,-0.024318506000000004,-0.638885936,-0.379323584,-0.56496267,0.369336922,-0.21563943200000002,1.277771872,-0.096207376,-0.1821823285,-0.08684505599999999,0.24815745,0.0189493375,0.022310196000000004,-0.082092953,-0.12284680599999999,0.388545562,-0.037898675,0.04835704949999997,0.7228730265000001,0.100791992,-0.24387329599999996,0.370255767,1.349193015,0.472940075,-0.657493894,0.684398042,-0.740511534,0.275139687,0.735191304,1.001881208,0.5271024425,0.1392808785,0.792908052,0.5492436139999999,-0.403704846,0.36397764700000007,-0.278561757,-0.4857997545,0.7838121389999999,0.6785893709999999,0.24887820449999998,0.1790239565,0.2692423689999999,0.68959633,-0.33029535,0.12401641699999996,-0.358047913
2001.0,2477.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.058411295,-0.465576534,0.07766710349999999,-0.141613613,0.007836561,-0.03709606199999999,-0.15741074199999994,0.313570431,0.468934998,-0.015673122,0.161593745,-0.18199292849999998,-0.0857519175,0.140450524,0.153192839,-0.229615036,0.00675906699999998,0.054169083,0.4321305,-0.306385678,0.2730801705,0.507276248,-0.4642344715,-0.011289818499999993,0.0217306435,-0.40358854499999997,-0.07565172999999997,-0.198046029,0.468288883,-0.043461287,0.5470446805,0.865428082,-0.13718205300000003,-0.2890229585,0.133235916,-0.21399568699999993,-0.04636508799999994,-1.264222326,0.843182781,-0.266471832,0.268016907,0.33873997499999997,-0.29164000050000005,-0.069989096,0.264026949,-0.294339964,-0.029242526000000046,-0.33651042100000006,0.35110375,-0.528053898
2002.0,2371.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.406497519,-0.853280239,-0.6334698265,-0.4974511965,-0.1538440635,-0.60197753,0.2789736180000001,0.1061424110000001,-0.319337223,0.307688127,-0.138141395,-0.0706438025,-0.0862984865,-0.03137839,-0.025798496,-0.157498776,0.140984099,-0.03433886100000001,0.08847267199999999,0.051596992,0.9398114340000001,1.51587932,0.593657008,-0.237107315,-0.313704335,0.71055747,-1.13362745,-0.42987235000000007,0.039692212000000004,0.62740867,0.592769978,0.562922298,0.31957875100000005,-0.45548159850000003,-0.49544022,0.20639418200000004,-0.22333552800000006,0.6824719720000001,-0.21625697100000002,0.99088044,0.7232725179999999,0.528937974,0.4348014905,0.0951483185,0.0333045415,0.538012176,-0.21415458599999998,0.326556395,0.052417173,-0.066609083
2003.0,2768.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.6695223775,-0.549487318,-0.177679893,-0.32670751,-0.578255702,0.3317173950000001,0.14602004599999996,0.23164555800000003,-0.360835118,1.156511404,-0.238106628,-0.20392183349999998,-0.128912751,0.033266689,-0.025798496,0.218216364,0.13984769900000002,0.230091834,0.04509697,0.051596992,1.9399931924999998,0.8431911445,-0.32738387700000005,0.559913033,1.372470031,-1.4180295729999999,-1.197406269,-0.422169412,1.209169532,-2.744940062,0.6869720505,0.725555766,0.5576038165,0.492125523,0.3750344295,0.042363391000000084,-0.21346731800000007,0.029240324999999956,-0.5233139739999999,-0.750068859,0.06254072199999999,0.48796958,0.539168572,0.248282435,0.1709284335,0.38893480599999997,0.18356394799999998,0.08396703400000005,-0.411792318,-0.341856867
2004.0,2706.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.6852460035000001,-0.6844929815,-0.998624942,-0.25530943,-0.436785156,0.22728291099999998,0.21261754300000002,-0.05247565799999998,0.471334524,0.873570312,-0.286077095,-0.159685223,-0.329968619,-0.09633732449999999,-0.0929202465,0.31415729800000003,0.051374478,-0.08460509599999999,0.390219455,0.185840493,1.7663871494999999,1.293209366,1.7248999239999998,0.1909887355,1.20638881,0.15785603300000006,-1.510485048,0.321450566,0.142202041,-2.41277762,0.2198102805,0.494918047,0.444022506,0.6512623065,0.320629764,-0.022620637,0.11375406200000004,-0.173895024,0.180924655,-0.641259528,0.3793695185,0.627011285,0.0952532275,0.5128165185,0.385459795,-0.20841313299999997,-0.274966174,-0.09464097499999999,0.10155181299999994,-0.77091959
2005.0,2796.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.18005879999999996,-0.2292260885,-0.5408731290000001,-0.23416056200000002,0.068466795,0.507784996,-0.22328397100000003,0.29133580600000003,0.05404993999999999,-0.13693359,-0.092183077,-0.16006402349999999,-0.2185138345,-0.310704994,-0.003424579,-0.161523074,-0.126329563,0.050889667,-0.383847604,0.006849158,0.6467557285000001,0.6227430435,1.5033569435,0.14492349449999997,-0.235163462,-1.921903891,0.549870415,-1.8526497710000003,-1.440837041,0.470326924,0.9400397805,0.977558607,0.9058660755000001,1.1760309475000001,0.441529021,0.2430552370000001,-0.024860364000000024,0.26924667700000005,-0.0636562169999999,-0.883058042,0.8222810334999999,0.5849435945,0.6512350455,1.2103748615,0.316647849,-0.24095930900000007,-0.5817986690000001,0.8077795970000001,0.3016418249999999,-0.633295698
2006.0,2823.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.134734047,-0.09434113599999999,-0.687065967,-0.2549095095,0.088676873,-0.05845058600000001,-0.35744465599999997,0.2133346920000001,0.395537313,-0.177353746,-0.048236909,-0.11544861299999999,-0.15185959100000002,-0.1389806985,0.0413232545,-0.073630738,-0.03709874199999999,0.096783348,0.04593391699999999,-0.082646509,0.0086680115,0.23513248049999996,1.4081115725,-0.318926289,-0.094444398,0.024604650999999998,1.057877351,-0.5218694849999999,-0.769018772,0.188888796,0.8460571305,0.9947341734999999,0.8453828475,1.113832485,0.6047430175,0.4310205370000001,-0.19326555499999987,-0.116019769,0.038985130000000146,-1.209486035,0.701617692,0.5452572085,0.5311092230000001,1.2256958755,0.332838895,0.436083214,-0.5926492529999999,0.10008573200000004,-0.09226509500000013,-0.66567779
2008.0,2468.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.6449676145000001,-0.12691561699999998,-0.034102892999999995,-0.0989159545,-0.517625468,-0.05709647100000004,0.317945798,0.018568915999999998,-0.441431383,1.035250936,-0.319962516,-0.2710343495,-0.0857519175,-0.031169153499999998,-0.0705463295,-0.233318216,-0.082850553,0.054169083,-0.083774715,0.141092659,2.0065541405,-0.5809249224999999,-0.5176439855,0.2393560525,0.380073376,-1.906606555,-0.393248489,-0.29475694299999994,0.304760455,-0.760146752,0.5388076205000001,0.7138261825000001,0.5556772565,0.4800488885,0.2299553215,0.19245211900000003,0.03341528100000002,-0.11877642700000002,0.08823991899999994,-0.459910643,0.37279103599999996,0.596605491,0.4565528325,0.583714858,0.296409041,0.149685538,-0.07881955200000001,0.07992252899999996,0.08610814,-0.592818082
2009.0,2591.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.313417354,-0.6175333505,-0.5249696275,-0.15756350800000002,-0.012373517,0.09509342399999998,-0.12471554900000004,0.03729672900000003,-0.099144168,0.024747034,-0.2800406465,-0.27084494950000004,-0.1524061605,-0.1822517815,-0.0929202465,0.03840739100000001,0.0060014669999999826,0.008275403000000014,0.218390541,0.185840493,1.1476447745,1.754242498,0.9419164485,-0.4339488265,0.213992155,0.23808289699999996,-0.4661289420000001,-0.6253944530000001,0.22525844700000003,-0.42798431,0.6219201325,0.7589296775,0.5003315214999999,0.452617353,0.2299553215,0.12372051699999997,-0.07913405299999998,-0.10933153699999998,0.056080675999999996,-0.459910643,0.3542899735,0.561725072,0.38643056750000004,0.5088329414999999,0.247835903,0.13222318299999997,-0.11431929600000001,0.08474627299999998,0.062136588999999964,-0.495671806
2010.0,2445.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.5613031205,-0.600582198,-0.10621837299999999,-0.2900086675,-0.2751045315,0.183219749,-0.09081324400000002,0.088722518,-0.134243325,0.550209063,-0.4699103655,-0.3821940755,-0.19666013300000001,-0.2036257775,-0.160041997,0.330254493,-0.12822356499999998,0.0071822640000000215,0.089309619,0.320083994,1.745618584,2.1252851010000002,-0.3170321395,1.1672794545,0.228718569,-1.5113358839999997,-0.43169428200000004,0.068561325,1.0350206329999998,-0.457437138,-0.09024122000000001,0.5175395965,0.5316499845,0.696669961,0.2662250985,0.0856419,0.023826277000000062,-0.07072188300000004,0.09010934599999998,-0.532450197,0.094582625,0.694870791,0.644966062,0.4218951595,0.2073582875,-0.074555188,0.10058050000000007,0.29556201400000004,-0.17463511500000006,-0.414716575
