Final_Approximation,H_L1,H_L2
7.792249999999999233e+00,1.399999999999934630e-02,3.824999999999993960e-01
8.578250000000000597e+00,-1.140000000000007674e-01,2.815000000000011937e-01
9.067750000000000199e+00,-1.819999999999986073e-01,9.649999999999891998e-02
8.985250000000000625e+00,-2.589999999999994529e-01,-2.124999999999985789e-01
8.620499999999999829e+00,-7.300000000000039790e-02,-1.079999999999969873e-01
8.413999999999999702e+00,-8.800000000000007816e-02,-2.050000000000018474e-01
8.102000000000000313e+00,1.289999999999995595e-01,8.200000000000073896e-02
8.201999999999999957e+00,-1.000000000000067502e-02,4.700000000000059686e-02
7.440249999999999808e+00,5.199999999999960210e-02,-1.029500000000000526e+00
5.850749999999999673e+00,-4.999999999999982236e-02,-5.405000000000006466e-01
5.612750000000000128e+00,-1.059999999999998721e-01,7.450000000000045475e-02
5.748499999999999943e+00,-9.100000000000019185e-02,-4.400000000000048317e-02
5.395500000000000185e+00,-1.150000000000002132e-01,-1.909999999999989484e-01
4.892000000000000348e+00,-5.199999999999960210e-02,-2.750000000000003553e-01
4.693999999999999950e+00,-4.300000000000014921e-02,5.200000000000137845e-02
5.034499999999999531e+00,2.700000000000013500e-02,4.200000000000070344e-02
5.097249999999999837e+00,-1.000000000000333955e-03,-1.135000000000001563e-01
5.253250000000000419e+00,-5.999999999999960920e-02,4.004999999999991900e-01
5.839249999999999829e+00,1.550000000000002487e-01,1.254999999999988347e-01
6.141750000000000043e+00,-6.499999999999950262e-02,2.734999999999994102e-01
6.690750000000000419e+00,-2.190000000000003055e-01,6.150000000000055422e-02
6.846000000000000085e+00,-4.700000000000059686e-02,1.539999999999999147e-01
7.211000000000000298e+00,3.060000000000000497e-01,2.310000000000007603e-01
7.715249999999999275e+00,3.450000000000006395e-01,1.674999999999995381e-01
7.957250000000000156e+00,1.920000000000001705e-01,1.415000000000006253e-01
8.144500000000000739e+00,1.710000000000011511e-01,1.180000000000003268e-01
7.476250000000000284e+00,-4.569999999999998508e-01,-5.985000000000004761e-01
6.404250000000000220e+00,-3.469999999999995310e-01,9.650000000000069633e-02
6.924500000000000099e+00,-2.109999999999994102e-01,2.500000000000000000e-01
7.250999999999999446e+00,-8.100000000000040501e-02,1.130000000000004334e-01
7.527750000000000163e+00,-1.730000000000000426e-01,1.334999999999997300e-01
7.460749999999999993e+00,-1.490000000000000213e-01,-4.349999999999987210e-02
