Final_Approximation,H_L1,H_L2,H_L3,H_L4
6.295687499999999659e+00,4.599999999999999645e-01,-1.154999999999990479e-01,-8.099999999999987210e-01,9.537500000000065370e-02
6.802062499999999901e+00,1.739999999999994884e-01,2.564999999999990621e-01,-1.624000000000000554e+00,1.677624999999999034e+00
8.239625000000000199e+00,2.100000000000079581e-02,4.609999999999994102e-01,2.487999999999999545e+00,2.284999999999985931e-01
9.698624999999999829e+00,-9.000000000000341061e-03,2.060000000000004050e-01,-1.025000000000009237e-01,9.972499999999993037e-01
1.019468750000000057e+01,1.399999999999934630e-02,3.824999999999993960e-01,4.925000000000068212e-02,1.016249999999985221e-01
1.096274999999999977e+01,-1.140000000000007674e-01,2.815000000000011937e-01,1.206500000000000128e+00,3.081499999999998352e+00
1.418343750000000014e+01,-1.819999999999986073e-01,9.649999999999891998e-02,2.900500000000000966e+00,5.458750000000023306e-01
1.472281249999999986e+01,-2.589999999999994529e-01,-2.124999999999985789e-01,-8.417500000000011084e-01,-1.788624999999999687e+00
1.244612499999999855e+01,-7.300000000000039790e-02,-1.079999999999969873e-01,-6.500000000000001776e+00,1.790750000000000952e+00
1.605999999999999872e+01,-8.800000000000007816e-02,-2.050000000000018474e-01,-1.967749999999998778e+00,6.592499999999983373e-01
1.758275000000000077e+01,1.289999999999995595e-01,8.200000000000073896e-02,1.060000000000000497e+00,-8.104999999999975557e-01
1.932556250000000375e+01,-1.000000000000067502e-02,4.700000000000059686e-02,2.500000000011937118e-04,2.385124999999998607e+00
1.569899999999999984e+01,5.199999999999960210e-02,-1.029500000000000526e+00,-1.353749999999999787e+00,-4.854749999999999233e+00
1.192443749999999980e+01,-4.999999999999982236e-02,-5.405000000000006466e-01,7.762500000000009948e-01,6.614625000000000199e+00
1.999431249999999949e+01,-1.059999999999998721e-01,7.450000000000045475e-02,1.635499999999998622e+00,-2.755375000000000796e+00
1.421406249999999893e+01,-9.100000000000019185e-02,-4.400000000000048317e-02,-3.224999999999997868e-01,-1.726124999999999687e+00
1.349399999999999977e+01,-1.150000000000002132e-01,-1.909999999999989484e-01,-9.249999999999936051e-02,-2.089999999999998082e+00
1.018956250000000097e+01,-5.199999999999960210e-02,-2.750000000000003553e-01,-6.935000000000002274e-01,-3.373624999999998764e+00
1.145162499999999994e+01,-4.300000000000014921e-02,5.200000000000137845e-02,-9.107500000000001705e-01,-5.627500000000011937e-01
1.127456250000000004e+01,2.700000000000013500e-02,4.200000000000070344e-02,-3.412500000000022737e-01,-6.713750000000011653e-01
1.181637500000000074e+01,-1.000000000000333955e-03,-1.135000000000001563e-01,2.807499999999993889e-01,-6.825000000000081002e-02
1.072562500000000085e+01,-5.999999999999960920e-02,4.004999999999991900e-01,1.564999999999994174e-01,-4.817499999999999005e-01
1.084831249999999869e+01,1.550000000000002487e-01,1.254999999999988347e-01,-2.472500000000010800e-01,-8.143750000000000711e-01
1.220593750000000099e+01,-6.499999999999950262e-02,2.734999999999994102e-01,-2.160000000000010800e-01,1.453374999999999417e+00
1.319500000000000028e+01,-2.190000000000003055e-01,6.150000000000055422e-02,-5.657500000000004192e-01,2.695000000000007390e-01
1.321156249999999943e+01,-4.700000000000059686e-02,1.539999999999999147e-01,-5.822500000000001563e-01,6.878749999999982379e-01
1.346518749999999898e+01,3.060000000000000497e-01,2.310000000000007603e-01,-2.090000000000005187e-01,-5.006249999999994316e-01
1.171325000000000038e+01,3.450000000000006395e-01,1.674999999999995381e-01,1.274999999999870681e-02,-2.106249999999999289e+00
8.360812499999997982e+00,1.920000000000001705e-01,1.415000000000006253e-01,3.897499999999993747e-01,-1.181124999999999758e+00
5.138374999999999915e+00,1.710000000000011511e-01,1.180000000000003268e-01,-4.767499999999991189e-01,-2.248499999999999943e+00
2.462812500000000071e+00,-4.569999999999998508e-01,-5.985000000000004761e-01,-4.384999999999994458e-01,-6.461250000000000604e-01
8.096875000000000044e-01,-3.469999999999995310e-01,9.650000000000069633e-02,2.262499999999993960e-01,4.241249999999998632e-01
1.449250000000000149e+00,-2.109999999999994102e-01,2.500000000000000000e-01,6.047500000000010090e-01,-1.375000000000015099e-02
8.485000000000000320e-01,-8.100000000000040501e-02,1.130000000000004334e-01,1.032500000000000639e-01,-2.140000000000000790e-01
1.096687500000000037e+00,-1.730000000000000426e-01,1.334999999999997300e-01,3.822499999999999787e-01,1.008125000000000160e+00
2.022312499999999957e+00,-1.490000000000000213e-01,-4.349999999999987210e-02,4.795000000000015916e-01,5.811249999999998916e-01
