Final_Approximation,HH_L1,HL_L1,LH_L1
27.700000000000003,-2.0000000000000036,-2.0999999999999996,1.6999999999999993
26.549999999999997,0.8000000000000007,1.200000000000001,1.3000000000000007
28.175,-1.0999999999999979,-0.24999999999999822,0.6499999999999986
25.35,-1.0,0.0,-7.0
21.125,0.5,-0.6499999999999986,-0.25
20.775,1.1000000000000014,-1.0500000000000007,0.15000000000000213
20.6,0.5999999999999979,-0.29999999999999893,0.0
20.625,0.09999999999999787,-0.34999999999999964,-0.15000000000000213
20.3,0.8000000000000007,1.7763568394002505e-15,-0.3999999999999986
20.15,-1.0,-0.40000000000000213,0.0
19.799999999999997,-0.8000000000000007,0.29999999999999893,0.5000000000000036
19.6,1.0000000000000036,-0.29999999999999893,0.7999999999999972
39.95,69.0,68.9,45.5
31.8,-119.6,57.8,-61.4
