Year,Tmax31,Tmax32,Tmax33,Tmax34,Tmax35,Tmax36,Tmax37,Tmax38,Tmax39,Tmin31,Tmin32,Tmin33,Tmin34,Tmin35,Tmin36,Tmin37,Tmin38,Tmin39,Rain28,Rain29,Rain30,Rain31,Rain32,Rain33,Rain34,Rain35,Rain36,RHI28,RHI29,RHI30,RHI31,RHI32,RHI33,RHI34,RHI35,RHI36,RHII28,RHII29,RHII30,RHII31,RHII32,RHII33,RHII34,RHII35,RHII36,Yield,District_Belagavi,District_ChickkaManglur,District_Dakshinakannada,District_Davanagere,District_Hassan,District_Kodagu,District_Mysuru,District_Shivamogga,District_Udupi,District_Uttarkannada
2009,2.558525218,2.553675383,1.902068847,1.252540265,1.421573811,1.197457976,1.577143756,1.630299959,1.066597179,2.099279013,1.321225105,1.45138212,1.739849255,1.28580044,1.061346164,1.65104388,1.34453203,1.290838019,-1.022277955,-0.934213765,-0.7511702,-0.487496158,-0.072076176,-0.70546751,1.808267652,0.359324649,-0.543958992,-2.353402279,-1.997288698,-1.555729508,-1.939376173,-0.634352668,-0.149157909,-1.562007872,-1.455588808,-1.498657319,-2.408309926,-1.603861612,-1.351128215,-1.961539644,-1.308109038,-0.459895211,-0.984570624,-1.015820147,-1.058668624,3246,0,0,0,0,0,0,0,0,0,0
2010,2.120601825,0.821183247,1.329833844,1.761074841,1.886073691,1.493767409,0.619680585,1.217814427,1.066597179,2.578983684,2.288040806,2.336114326,2.364465001,2.378485516,2.450162953,2.341707322,1.516360944,0.440629179,-0.947964095,-0.88065204,-0.789487684,-0.840355921,0.728991791,0.881022291,-0.633794557,-0.783611815,-0.809034438,-2.353402279,-1.997288698,-1.555729508,-1.939376173,-0.634352668,-0.149157909,-1.562007872,-1.455588808,-1.498657319,-2.408309926,-1.603861612,-1.351128215,-1.961539644,-1.308109038,-0.459895211,-0.984570624,-1.015820147,-1.058668624,3830,0,0,0,0,0,0,0,0,0,0
2011,1.682678433,2.044118873,1.599120904,1.28644257,1.24292001,1.530806088,1.615442282,1.217814427,1.794159988,1.091899204,1.233332768,1.230199068,1.159848919,1.242093036,1.24054833,0.830881042,0.786088059,1.022351017,-0.718678649,-0.917982939,-0.737310685,-0.69875524,-0.574954805,-0.726342375,-0.220750343,-0.783611815,-0.809034438,-3.187498299,-3.410943308,-3.583292754,-2.308024834,-2.388343514,-2.74360154,-3.264794918,-3.35920194,-3.88037268,-1.294543016,-1.267997318,-0.931429807,-0.412705363,-1.042150533,-1.289347532,-0.937398519,-0.921055393,-1.147719378,3937,0,0,0,0,0,0,0,0,0,0
2012,2.303069905,1.806325834,1.834747082,2.032293282,1.24292001,1.234496655,1.232457014,1.292811796,1.955840613,1.283781072,1.145440432,0.876306185,0.847541045,0.892433812,0.971745081,0.874047507,0.571301917,0.485377013,-1.040403287,-0.922852187,-0.795194543,0.183965138,-0.783434639,-0.231868992,-0.765442116,-0.783611815,-0.465418119,-4.855690338,-3.605930151,-4.653395578,-4.10658345,-2.664657141,-3.629509121,-3.401017881,-3.848702459,-4.025451789,-2.476699122,-1.467700412,-1.376824036,-0.833747692,-0.477996129,-0.646098793,-1.039604747,-1.015820147,-0.386740209,3904,0,0,0,0,0,0,0,0,0,0
2014,1.938133745,1.840296268,2.003051494,2.167902502,0.88561241,1.160419297,1.232457014,0.805328895,1.26869796,1.139869671,0.969655759,1.009016016,1.026002687,1.067263424,1.195747789,1.046713368,1.000874202,1.246090186,-1.013215289,-0.934213765,-0.54898433,-0.313921129,-0.533258838,-0.642842912,-0.673288825,-0.111496939,-0.809034438,-2.553115411,-3.922783771,-4.76603798,-2.710187009,-1.95585262,-2.553764201,-3.491833191,-1.42295544,-2.381221895,-2.154292911,-2.121274173,-1.856479359,-0.638263754,-0.639183102,-1.543261507,-1.173259046,-0.486716935,-0.338167071,3889,0,0,0,0,0,0,0,0,0,0
2018,2.157095441,1.704414532,0.622955312,1.388149485,1.493035331,1.678960804,2.228218712,1.555302589,1.834580144,1.139869671,1.101494264,0.743596354,0.758310225,0.58648199,0.613340748,1.176212763,1.215660344,1.067098851,-1.040403287,-0.877405875,-0.526156893,-0.846065626,-0.628022399,-0.744607883,-0.765442116,-0.773376563,-0.795944293,-0.602975421,-0.57144741,-0.553212126,-0.498295046,-0.622339032,-1.148967894,-0.835485399,-0.411321034,-0.410564007,-0.004918173,0.193466231,0.815886014,-0.059330552,0.537481798,0.115643134,-0.83519229,-0.068172604,0.252806113,4256,0,0,0,0,0,0,0,0,0,0
2019,1.901640129,1.636473664,1.599120904,1.761074841,1.564496851,1.382651371,1.155859961,1.105318373,1.349538272,1.811456211,1.453063609,1.49561873,1.561387613,1.373215246,1.330149413,1.435211554,1.215660344,0.977603183,-0.979683426,-0.806801782,-0.747909138,-0.525180211,-0.288137095,-0.160111641,-0.390246574,-0.526024641,-0.683041788,-2.694089386,-2.655369292,-2.614568092,-2.386223034,-1.523361727,-1.300837765,-2.004732504,-1.868944803,-2.006434198,-2.193372452,-1.758177639,-1.522433688,-1.690869576,-1.445117965,-0.933867966,-1.071052818,-0.849981827,-1.066764147,4571,0,0,0,0,0,0,0,0,0,0
2021,0.441895487,0.617360643,-0.050262338,0.540591858,0.135266449,-0.172973151,-0.146289951,0.430342048,0.096513434,0.036548927,0.046786227,-0.185372462,-0.044767164,-0.156543862,-0.013866834,0.097051134,-0.030099283,-0.096344826,-0.93346383,-0.789759415,-0.713667982,-0.794678282,-0.607806173,-0.38190709,-0.605819451,-0.73414143,-0.658497765,-0.250540483,-0.169287046,-0.068849795,-0.029105841,0.086465489,0.065991075,0.140779174,0.317490851,0.278561757,-0.161236336,-0.441952703,0.02788084,-1.081861921,0.005564788,-0.019777653,0.359834383,-0.478819873,0.204232975,2715,0,0,0,0,0,0,0,0,0,0
1990,-0.032521522,-0.435722812,-1.262054108,-0.951109566,-0.829464073,-0.839669375,-0.337782585,0.017856517,-0.06516719,-0.34721481,-0.348729287,-0.273845683,-0.178613395,-0.375080877,-0.237869542,-0.852611099,-1.018115538,-0.454327495,-0.911713432,-0.823844149,-0.778889231,-0.785542754,-0.470083131,-0.644147591,0.282801568,0.575970814,-0.462145583,0.160633611,0.293806705,0.866082146,0.741704994,0.687147285,0.926587011,0.481336583,0.415390955,0.604989751,-0.200315877,0.066382445,0.824451287,0.812828558,0.40853222,0.623471085,-0.332023165,-0.431437495,0.018035944,1667,1,0,0,0,0,0,0,0,0,0
1991,-0.50693853,-0.67351585,-0.790801753,-0.849402651,-0.793733313,-0.098895793,0.466486478,-0.319631646,0.056093278,-0.01142154,-0.348729287,-0.185372462,-0.357075037,-0.593617893,-0.909877666,-0.377779982,-0.545586025,-0.096344826,-0.686959319,-0.909867526,-0.787041887,-0.846065626,-0.830184662,-0.666327136,-0.633794557,1.451084852,-0.481780801,0.595303368,0.744713779,0.775968224,0.730533823,0.735201829,0.230516769,0.265650224,0.959280421,0.641259528,0.327257922,0.420401565,0.927234571,0.542158489,0.094217623,-0.442967613,0.296938242,0.366165853,0.803301682,1557,1,0,0,0,0,0,0,0,0,0
1993,-0.981355539,-0.469693246,-0.656158223,-0.679891125,-0.293502672,-0.728553338,-0.452678166,0.092853886,-0.550209063,-0.059392007,-0.392675455,-0.229609073,-0.401690447,-0.375080877,-0.506672792,-0.809444634,-0.416714339,-0.409579662,-0.306327353,-0.463519815,-0.607683454,-0.846065626,-0.818813035,-0.58804639,-0.765442116,-0.578906776,-0.449055437,0.548312043,0.452233515,0.730911263,0.752876166,0.603051834,0.572223979,0.708374856,0.415390955,0.870968116,0.444496544,0.002840551,0.567493078,0.339155938,0.319879385,0.411876105,-0.064714567,-0.384055118,0.301379252,2248,1,0,0,0,0,0,0,0,0,0
1994,-0.725900227,-0.265870642,-0.588836458,-0.71379343,-1.329694713,-1.173017487,-0.6441708,-0.582122439,0.460294838,-0.059392007,-0.52451396,-0.185372462,-0.178613395,-0.287666071,-0.103467917,-1.154776355,-1.877260108,-0.946553666,-0.99962129,-0.934213765,-0.434847145,-0.846065626,2.00008702,-0.666327136,0.518121579,-0.783611815,-0.107075387,0.571807705,0.159753251,0.719647023,0.853416709,0.843324552,0.496289043,0.594855719,0.643824531,0.677529305,0.258868726,-0.296714089,0.447579248,0.715086589,1.004924018,0.68271768,-0.041128514,-1.165864341,-1.843934362,1801,1,0,0,0,0,0,0,0,0,0
1995,0.003972094,0.107804133,-0.016601456,0.744005688,-0.829464073,-0.6174373,-0.337782585,0.017856517,-0.226847815,0.036548927,-0.04110611,-0.362318904,-0.267844216,0.01828575,-0.596273875,-0.205114122,-0.373757111,-0.27533616,-1.031340621,-0.187595775,-0.640294078,-0.846065626,-0.830184662,-0.601093181,-0.765442116,-0.783611815,-0.776309075,0.125390117,0.208499962,0.269077413,-0.040277013,0.759229101,0.546912333,0.311057878,0.458902112,0.206022203,0.122090334,-0.714275104,-0.580253588,-0.80367324,0.779262257,-0.519141805,-0.221954918,-0.107657918,0.333761344,1481,1,0,0,0,0,0,0,0,0,0
1996,-0.652912995,-0.367781944,-0.386871163,-0.306965769,-0.543617992,-0.024818435,-0.222887005,-0.282132961,-0.024747034,-0.107362474,-0.216890783,-0.185372462,-0.223228805,-0.375080877,-0.282670084,-0.248280587,-0.717414939,-0.185840493,-0.845555971,-0.917982939,-0.735680154,-0.846065626,-0.772063012,-0.715904943,-0.696327147,2.529198053,-0.809034438,0.395590236,0.366926771,0.325398614,0.529452735,0.458888203,0.496289043,0.424577015,0.273979694,0.41155094,0.385877233,0.375014498,-0.014945528,0.136153387,-0.099206744,0.149498331,0.30480026,-0.091863792,0.625200175,2001,1,0,0,0,0,0,0,0,0,0
1997,-0.616419379,-0.401752378,-0.285888516,-0.71379343,-0.400694952,0.234452319,0.543083532,0.542838102,0.015673122,-0.01142154,-0.260836951,-0.185372462,-0.089382574,-0.418788281,-0.7306755,-0.636778773,-0.545586025,-0.588570996,-0.976964626,-0.916359857,-0.616651375,-0.752426466,-0.178211364,-0.744607883,-0.765442116,-0.527730517,0.352715974,0.513068549,0.415673482,0.460569497,0.663506793,0.218615484,-0.174469554,0.311057878,0.393635376,0.206022203,0.346797693,0.302395192,0.250577954,0.925607753,-0.050850652,-0.671490191,-0.960984572,-0.952643644,-0.491982009,1988,1,0,0,0,0,0,0,0,0,0
1998,0.003972094,-0.231900208,0.185363839,0.337178027,-0.293502672,-0.172973151,-0.490976692,-0.35713033,-0.469368751,0.036548927,0.046786227,-0.096899242,0.222925299,-0.069129056,0.075734249,0.097051134,-0.287842654,-0.006849158,-1.040403287,-0.784890167,-0.71040692,-0.599406374,-0.266657354,-0.666327136,-0.469235109,-0.425377998,-0.661770302,0.101894455,0.366926771,0.415512536,0.171975246,0.49492911,0.496289043,0.606207633,0.426268744,0.834698339,-0.688810135,0.238853298,-0.520296673,0.715086589,0.416591568,0.352629511,0.619280964,0.089768653,0.544244944,2302,1,0,0,0,0,0,0,0,0,0
1999,-0.543432147,-0.775427152,0.017059427,0.032057282,-0.114848872,-0.839669375,-0.605872273,0.055355201,0.33903437,-0.01142154,-0.128998446,-0.362318904,-0.580152089,-0.375080877,-0.327470625,-0.464112913,-1.146987224,-0.230588327,-1.040403287,-0.711851451,-0.628880359,-0.693045535,0.452282194,-0.547601337,-0.693035959,-0.783611815,-0.547231529,-0.050827352,0.366926771,-0.012528594,0.060263531,-0.081725415,0.281140059,0.00455621,-0.019720618,0.532450197,0.346797693,0.311472605,-0.383252295,-0.25481449,-0.147562836,-0.129807043,-0.009680443,-1.213246718,0.05851356,2438,1,0,0,0,0,0,0,0,0,0
2000,0.952806112,-0.33381151,-0.050262338,-0.917207261,-1.222502433,-0.395205226,0.428187951,0.467840733,0.379454526,-0.683008079,-0.304783119,-0.362318904,-0.089382574,-0.156543862,-0.865077125,-0.248280587,-0.030099283,0.082646509,-1.004152623,-0.861175049,-0.681057358,-0.834646216,-0.830184662,-0.637624196,-0.712783092,-0.694906298,-0.766491466,-0.520740602,0.330366738,-0.023792834,0.406569848,0.422847295,0.407698285,-0.199778235,0.371879798,0.484090494,-1.988204863,0.093614685,-0.117728812,0.669974911,0.601956587,-0.104415645,-0.481401499,0.042386276,-0.491982009,2282,1,0,0,0,0,0,0,0,0,0
2001,-0.287976834,-0.265870642,-0.723479988,-0.612086515,-0.293502672,0.271490998,0.389889424,0.167851255,-0.226847815,-0.155332941,-0.216890783,-0.273845683,-0.178613395,-0.375080877,-0.641074417,-0.809444634,-0.244885425,-0.185840493,-1.022277955,-0.853059636,-0.795194543,-0.149481628,-0.817549521,-0.535859225,-0.716074281,-0.225790585,0.478708624,0.184129274,0.098819863,0.505626458,0.484768049,-0.15380723,-0.338995248,0.00455621,0.350124219,0.435730791,-0.043997714,0.148079165,0.644580541,0.29404426,-0.268453065,-1.179318142,-1.0631908,0.02659215,-0.014346148,1050,1,0,0,0,0,0,0,0,0,0
2002,0.441895487,-0.979249757,-0.824462636,-0.78159804,0.135266449,-0.506321263,0.236695317,0.655334156,0.783656087,-0.01142154,-0.260836951,-0.008426021,-0.312459626,-0.593617893,-0.372271167,-0.809444634,-1.104029995,-0.543823163,-0.976964626,-0.879028957,-0.712037451,-0.718168236,-0.751846785,-0.744607883,-0.765442116,-0.783611815,3.036195799,-0.368018796,0.452233515,0.381719815,0.339542819,-0.141793594,0.103958543,-0.199778235,-0.748532503,-0.809531555,-0.483642547,0.701801379,0.653145815,0.151190613,-0.502174175,-0.358329621,-0.748710097,-1.513335107,-1.139623855,589,1,0,0,0,0,0,0,0,0,0
